2026-06-25T16:22:55.113+08:00 DEBUG 53640 --- [personalfinanacetracker] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\Adrian Tang\git\repository\personalfinanacetracker\target\classes\com\app\personalfinanacetracker\service\SummaryService.class]
2026-06-25T16:22:55.357+08:00  INFO 53640 --- [personalfinanacetracker] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-25T16:22:55.360+08:00 DEBUG 53640 --- [personalfinanacetracker] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2026-06-25T16:22:55.361+08:00 DEBUG 53640 --- [personalfinanacetracker] [restartedMain] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.app.personalfinanacetracker'. Automatic @Repository and @Entity scanning is enabled.
2026-06-25T16:22:55.362+08:00 DEBUG 53640 --- [personalfinanacetracker] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.app.personalfinanacetracker.
2026-06-25T16:22:55.377+08:00 DEBUG 53640 --- [personalfinanacetracker] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Adrian Tang\git\repository\personalfinanacetracker\target\classes\com\app\personalfinanacetracker\repository\BudgetRepository.class]
2026-06-25T16:22:55.379+08:00 DEBUG 53640 --- [personalfinanacetracker] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\Adrian Tang\git\repository\personalfinanacetracker\target\classes\com\app\personalfinanacetracker\repository\ExpenseRepository.class]
2026-06-25T16:22:55.411+08:00  INFO 53640 --- [personalfinanacetracker] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 48 ms. Found 2 JPA repository interfaces.
2026-06-25T16:22:55.467+08:00 DEBUG 53640 --- [personalfinanacetracker] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2026-06-25T16:22:55.469+08:00 DEBUG 53640 --- [personalfinanacetracker] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.devtools.autoconfigure.DevToolsDataSourceAutoConfiguration$DatabaseShutdownExecutorEntityManagerFactoryDependsOnPostProcessor'
